d,n,j,D_original,D_squarefree,tunnell_result
27824667,10,106156,22537980360,626055010,✓ CONFIRMADO
4986326028,4,299590,179507737020,44876934255,✓ CONFIRMADO
51705529931,2,227389,103411059864,25852764966,✓ CONFIRMADO
32629545131,2,180637,65259090264,16314772566,✓ CONFIRMADO
46960840319,2,216705,93921680640,366881565,✓ CONFIRMADO
5003086555,2,70733,10006173112,2501543278,✓ CONFIRMADO
73805947,5,54335,5904475780,1476118945,✓ CONFIRMADO
17692591181,2,133014,35385182364,8846295591,✓ CONFIRMADO
73652803489,2,271391,147305606980,36826401745,✓ CONFIRMADO
43992147,6,57441,6598822080,103106595,✓ CONFIRMADO
36833478319,2,191921,73666956640,4604184790,✓ CONFIRMADO
76801868291,2,277132,153603736584,38400934146,✓ CONFIRMADO
49049264,12,188706,71219531460,17804882865,✓ CONFIRMADO
42641,2,207,85284,2369,✓ CONFIRMADO
605684201,6,213135,90852630180,22713157545,✓ CONFIRMADO
738579772,4,115302,26588871804,6647217951,✓ CONFIRMADO
30226778021,2,173859,60453556044,15113389011,✓ CONFIRMADO
47741189,2,6910,95482380,487155,✓ CONFIRMADO
87823213,4,39760,3161635680,197602230,✓ CONFIRMADO
926357098,4,129130,33348855540,8337213885,✓ CONFIRMADO
87631688701,2,296027,175263377404,43815844351,✓ CONFIRMADO
82453112461,2,287147,164906224924,41226556231,✓ CONFIRMADO
11962781249,2,109375,23925562500,382809,✓ CONFIRMADO
7251459179,2,85156,14502918360,3625729590,✓ CONFIRMADO
23501225,4,20568,846044112,52877757,✓ CONFIRMADO
7339091891,2,85669,14678183784,30326826,✓ CONFIRMADO
40758562655,2,201888,81517125312,141522787,✓ CONFIRMADO
782852419,2,27980,1565704840,7988290,✓ CONFIRMADO
12350117,6,30435,1852517580,463129395,✓ CONFIRMADO
3769449493,4,260481,135700181760,530078835,✓ CONFIRMADO
29901499319,2,172921,59802998640,76279335,✓ CONFIRMADO
84359169361,2,290447,168718338724,42179584681,✓ CONFIRMADO
604791055,2,24593,1209582112,75598882,✓ CONFIRMADO
4071282887,4,270709,146566183944,36641545986,✓ CONFIRMADO
35923705759,2,189536,71847411520,1122615805,✓ CONFIRMADO
4127663797,4,272577,148595896704,2321810886,✓ CONFIRMADO
1998671141,2,44707,3997342284,999335571,✓ CONFIRMADO
2083055239,2,45641,4166110480,260381905,✓ CONFIRMADO
55126109309,2,234790,110252218620,27563054655,✓ CONFIRMADO
28597346555,2,169108,57194693112,14298673278,✓ CONFIRMADO
38272857589,2,195635,76545715180,19136428795,✓ CONFIRMADO
3447157655,2,58713,6894315312,430894707,✓ CONFIRMADO
8886361555,2,94268,17772723112,4443180778,✓ CONFIRMADO
35249499251,2,187749,70498998504,1958305514,✓ CONFIRMADO
46596618905,2,215863,93193237812,23298309453,✓ CONFIRMADO
566598689,5,150546,45327895140,11331973785,✓ CONFIRMADO
5672876441,2,75319,11345752884,2836438221,✓ CONFIRMADO
2045685987,4,191892,73644695544,18411173886,✓ CONFIRMADO
72256396829,2,268806,144512793660,36128198415,✓ CONFIRMADO
3749274850,4,259783,134973894612,33743473653,✓ CONFIRMADO
3348579087,4,245509,120548847144,249067866,✓ CONFIRMADO
5117184689,2,71535,10234369380,2558592345,✓ CONFIRMADO
3576620368,4,253731,128758333260,32189583315,✓ CONFIRMADO
12292933001,2,110874,24585866004,6146466501,✓ CONFIRMADO
20148241079,2,141945,40296482160,2518530135,✓ CONFIRMADO
57144185351,2,239049,114288370704,793669241,✓ CONFIRMADO
2971678173,4,231280,106980414240,136454610,✓ CONFIRMADO
17646067081,2,132839,35292134164,180061909,✓ CONFIRMADO
323895783,6,155860,48584367480,12146091870,✓ CONFIRMADO
33914721439,2,184160,67829442880,1059835045,✓ CONFIRMADO
1433435348,4,160630,51603672540,12900918135,✓ CONFIRMADO
46245427,5,43010,3699634180,924908545,✓ CONFIRMADO
194346518,5,88170,15547721460,3886930365,✓ CONFIRMADO
6386167481,2,79914,12772334964,3193083741,✓ CONFIRMADO
6895071,6,22741,1034260680,258565170,✓ CONFIRMADO
361594762,5,120266,28927580980,7231895245,✓ CONFIRMADO
